,,XI,Ares 90 C,,21114,115,7.00s,235,1000,0.36,1.90s,0.07 / 0.17 / 0.17,-9° / +45°,55 / 19,43°/s,930,20.81,44.7t,2050,390
,,X,Ares 90,,20859,115,8.00s,220,1000,0.36,2.00s,0.08 / 0.17 / 0.17,-9° / +45°,50 / 19,45°/s,1000,20.12,49.7t,1950,390
,,IX,Ares 85,,15047,80,6.00s,210,1000,0.36,2.10s,0.10 / 0.18 / 0.18,-7° / +45°,50 / 18,45°/s,900,19.69,45.7t,1800,390
,,VIII,Ares 75,,11486,60,5.00s,195,1000,0.37,2.20s,0.11 / 0.18 / 0.18,-7° / +45°,50 / 17,45°/s,710,18.33,38.7t,1600,380
,,XI,Breaker,,3556,480,8.10s,278,1000,0.30,1.70s,0.06 / 0.25 / 0.25,-10° / +20°,20 / 12,22°/s,750,10.76,69.7t,2150,390
,,X,Błyskawica,,3504,800,13.70s,292,1700,0.35,2.50s,0.08 / 0.18 / 0.18,-7° / +15°,45 / 15,30°/s,900,16.45,54.7t,2000,370
,,XI,Strv 107-12,,3493,390,6.70s,314,1500,0.29,3.00s,0.00 / 0.39 / 0.11,-1° / +0°,51 / 46,35°/s,850,19.91,42.7t,1950,360
,,X,Ashigaru,,3441,390,6.80s,277,1250,0.23,1.40s,0.14 / 0.24 / 0.24,-10° / +16°,40 / 20,40°/s,600,24.29,24.7t,1800,380
,,X,Badger,,3388,480,8.50s,272,1000,0.30,1.70s,0.06 / 0.26 / 0.26,-10° / +20°,30 / 12,25°/s,1050,16.23,64.7t,2100,390
,,IX,Tortoise,,3380,400,7.10s,259,1067,0.31,1.70s,0.06 / 0.26 / 0.26,-10° / +20°,20 / 10,22°/s,810,10.58,76.6t,1850,390
,,X,K-91,,3368,320,5.70s,276,1700,0.33,1.70s,0.10 / 0.14 / 0.10,-9° / +20°,55 / 20,50°/s,860,19.24,44.7t,1950,410
,,X,Strv 103B,,3343,390,7.00s,308,1500,0.30,3.00s,0.00 / 0.40 / 0.10,-1° / +1°,50 / 45,35°/s,900,22.50,40t,1800,360
,,IX,KPz 3 Pr.07HK,,3323,360,6.50s,268,1480,0.35,2.50s,0.05 / 0.06 / 0.06,-3° / +17°,65 / 25,28°/s,900,23.54,38.2t,1700,350
,,X,Obj. 140,,3238,340,6.30s,264,1535,0.35,1.90s,0.10 / 0.08 / 0.08,-7° / +17°,55 / 20,54°/s,700,19.61,35.7t,1950,400
,,IX,Gonkiewicza,,3200,800,15.00s,292,1700,0.38,2.70s,0.08 / 0.21 / 0.21,-7° / +15°,42 / 15,30°/s,780,15.69,49.7t,1800,360
,,VII,ISU-122S,,3162,390,7.40s,175,800,0.41,2.90s,0.08 / 0.20 / 0.20,-6° / +18°,43 / 12,27°/s,600,13.18,45.5t,870,350
,,X,Lion,,3150,420,8.00s,258,1080,0.33,2.70s,0.12 / 0.20 / 0.20,-9° / +20°,60 / 15,45°/s,830,19.44,42.7t,1850,400
,,X,Stinger,,3097,400,25.00s,258,1067,0.35,2.70s,0.18 / 0.22 / 0.22,-8° / +12°,35.4 / 14,30°/s,870,16.07,54.1t,2250,400
,,X,T57 Heavy,,3097,400,25.00s,258,1067,0.35,2.70s,0.18 / 0.22 / 0.22,-8° / +12°,35.4 / 14,30°/s,870,16.07,54.1t,2250,400
,,X,Tesák,,3049,16,17.00s,192,800,0.40,2.00s,0.05 / 0.08 / 0.08,-12° / +30°,65 / 25,45°/s,650,38.92,16.7t,1650,390
,,X,STB-1,,3042,360,7.10s,258,1185,0.37,2.00s,0.08 / 0.09 / 0.09,-8° / +15°,50 / 25,57°/s,950,25.61,37.1t,2000,400
,,X,T95E6,,3000,400,8.00s,258,1067,0.38,2.00s,0.10 / 0.12 / 0.12,-9° / +20°,56.3 / 20,46°/s,750,18.47,40.6t,2150,410
,,X,Foch B,,3000,400,38.00s,257,1067,0.34,2.30s,0.10 / 0.13 / 0.13,-6° / +18°,50 / 15,30°/s,1150,20.58,55.9t,1850,380
,,VIII,Grom,,3000,800,16.00s,272,1400,0.40,2.70s,0.08 / 0.20 / 0.20,-7° / +15°,45 / 15,32°/s,810,15.98,50.7t,1300,350
,,X,AMX 30 B,,3000,390,7.80s,248,1100,0.36,2.00s,0.04 / 0.12 / 0.12,-8° / +20°,65 / 23,48°/s,720,20.17,35.7t,1900,410
,,IX,Strv 103-0,,2962,390,7.90s,308,1500,0.40,3.00s,0.10 / 0.40 / 0.10,-1° / +1°,50 / 45,35°/s,750,20.44,36.7t,1500,360
,,X,Obj. 907,,2954,320,6.50s,264,1535,0.36,2.00s,0.10 / 0.12 / 0.12,-5° / +16°,55 / 20,54°/s,610,17.09,35.7t,2000,400
,,IX,Jagdtiger,,2947,560,11.40s,276,1200,0.33,2.30s,0.08 / 0.18 / 0.18,-7.5° / +15°,38 / 12,30°/s,830,11.04,75.2t,2000,390
,,XI,Hacker,,2946,410,8.35s,273,1500,0.35,1.80s,0.06 / 0.07 / 0.07,-9° / +20°,48 / 20,50°/s,1050,21.13,49.7t,2100,420
,,XI,Szakal,,2930,420,8.60s,275,1341,0.34,2.10s,0.07 / 0.10 / 0.10,-8° / +20°,55 / 17,46°/s,850,19.02,44.7t,2200,400
,,X,Gryphon,,2930,420,8.60s,263,1020,0.36,2.30s,0.10 / 0.16 / 0.16,-10° / +20°,43 / 15,32°/s,800,16.43,48.7t,2100,400
,,X,Centurion AX,,2925,390,8.00s,268,1478,0.32,2.10s,0.08 / 0.10 / 0.10,-10° / +20°,55 / 20,50°/s,1040,19.01,54.7t,1950,410
,,X,Triumphant,,2925,390,8.00s,268,1478,0.32,2.10s,0.08 / 0.10 / 0.10,-10° / +20°,55 / 20,50°/s,1040,19.01,54.7t,1950,410
,,VII,SU-122-44,,2925,390,8.00s,175,800,0.41,2.90s,0.12 / 0.21 / 0.21,-4° / +16°,47.5 / 13,42°/s,500,15.37,32.5t,840,330
,,X,Vickers 3,,2925,390,8.00s,268,1540,0.27,2.00s,0.08 / 0.10 / 0.10,-10° / +20°,55 / 25,50°/s,850,22.14,38.4t,1900,410
,,VIII,Turtle I,,2912,330,6.80s,240,1050,0.36,1.90s,0.10 / 0.18 / 0.18,-10° / +20°,25 / 12,23°/s,800,13.40,59.7t,1400,370
,,X,T-62A,,2909,320,6.60s,264,1535,0.34,2.00s,0.08 / 0.10 / 0.10,-5° / +17°,50 / 20,56°/s,580,15.80,36.7t,1950,400
,,X,Chieftain,,2909,400,8.25s,270,1372,0.32,1.50s,0.10 / 0.12 / 0.12,-10° / +20°,42 / 15,40°/s,750,13.71,54.7t,2200,390
,,XI,STK-2,,2907,470,9.70s,265,1050,0.22,2.00s,0.10 / 0.14 / 0.14,-8° / +15°,40 / 16,30°/s,1150,17.50,65.7t,2350,400
,,IX,SU-122V,,2901,440,9.10s,270,940,0.40,2.00s,0.10 / 0.20 / 0.20,-3° / +20°,50 / 20,45°/s,820,19.20,42.7t,1600,350
,,IV,SAu 40,,2894,410,8.50s,53,670,0.53,2.30s,0.08 / 0.24 / 0.24,-10° / +30°,37 / 12,38°/s,350,14.25,24.6t,430,330
,,X,121B,,2889,390,8.10s,261,1478,0.33,2.20s,0.10 / 0.14 / 0.14,-5° / +18°,55 / 25,50°/s,700,17.63,39.7t,1950,420
,,X,Monkey King,,2889,390,8.10s,261,1478,0.33,2.20s,0.10 / 0.14 / 0.14,-5° / +18°,55 / 25,50°/s,700,17.63,39.7t,1950,420
,,VIII,ISU-130,,2854,490,10.30s,238,960,0.37,2.10s,0.06 / 0.12 / 0.12,-8° / +14.3°,38 / 14,28°/s,600,12.84,46.7t,1000,380
,,X,Minotauro,,2839,530,24.00s,265,1303,0.44,2.30s,0.04 / 0.15 / 0.15,-10° / +20°,30 / 12,30°/s,780,13.64,57.2t,2000,390
,,XI,Leopard 120,,2839,440,9.30s,284,1400,0.32,1.60s,0.10 / 0.19 / 0.19,-9° / +20°,65 / 23,48°/s,900,21.08,42.7t,1950,410
,,XI,AS-XX 40 t,,2834,410,33.00s,263,1380,0.35,2.30s,0.10 / 0.17 / 0.17,-8° / +11°,66 / 24,32°/s,1230,30.98,39.7t,1950,400
,,VIII,"JgTig.8,8 cm",,2824,240,5.10s,212,1000,0.31,1.80s,0.08 / 0.17 / 0.17,-7° / +15°,38 / 16,32°/s,700,10.09,69.4t,1500,390
,,IX,WZ-120G FT,,2824,560,11.90s,271,930,0.38,2.80s,0.16 / 0.22 / 0.22,-6° / +15°,47 / 20,38°/s,520,14.44,36t,1700,390
,,VIII,TS-5,,2824,400,8.50s,248,860,0.44,1.80s,0.06 / 0.16 / 0.16,-5° / +20°,26 / 12,24°/s,750,12.56,59.7t,1500,370
